Ratings and Statistics as of Monday June 20 2016,,
rank,team,rating
1,Argentina,2074
2,Germany,2013
3,Spain,2003
4,Chile,1982
5,Brazil,1953
6,France,1945
7,Colombia,1944
8,England,1929
9,Italy,1909
10,Netherlands,1903
11,Mexico,1888
12,Belgium,1885
13,Uruguay,1877
14,Portugal,1859
15,Ecuador,1839
16,Peru,1824
17,Croatia,1814
18,United States,1793
19,South Korea,1785
20,Switzerland,1774
20,Poland,1774
22,Costa Rica,1769
23,Turkey,1756
24,Slovakia,1750
25,Bosnia and Herzegovina,1741
26,Japan,1739
27,Ukraine,1736
28,Iran,1729
29,Czechia,1725
30,Sweden,1724
31,Ivory Coast,1723
32,Denmark,1722
33,Austria,1717
34,Serbia,1710
34,Hungary,1710
36,Ireland,1706
37,Paraguay,1705
37,Wales,1705
39,Australia,1692
40,Romania,1689
41,Scotland,1686
42,Senegal,1680
43,Russia,1670
44,Venezuela,1666
45,Iceland,1659
46,Panama,1655
47,Algeria,1653
48,Egypt,1652
49,Ghana,1639
50,Northern Ireland,1638
50,Uzbekistan,1638
52,Nigeria,1620
53,Cameroon,1612
54,Norway,1610
55,Albania,1602
56,Greece,1592
57,Slovenia,1588
58,South Africa,1580
59,Democratic Republic of Congo,1578
60,Morocco,1573
61,United Arab Emirates,1570
62,Mali,1564
63,Bulgaria,1561
64,New Zealand,1559
64,Belarus,1559
66,Trinidad and Tobago,1557
66,China,1557
68,Tunisia,1556
69,Bolivia,1553
70,Finland,1550
71,Israel,1546
72,Jamaica,1540
73,Saudi Arabia,1528
74,Montenegro,1527
75,Guinea,1524
76,Jordan,1521
77,Qatar,1513
78,Honduras,1508
79,Uganda,1506
80,Syria,1505
81,Cape Verde,1504
82,Canada,1501
83,Armenia,1499
84,North Korea,1494
85,Iraq,1491
86,Guatemala,1475
87,Libya,1474
88,Kuwait,1466
89,Haiti,1463
89,Oman,1463
91,Georgia,1461
91,Burkina Faso,1461
93,Zambia,1458
94,Martinique,1457
95,Latvia,1456
96,Congo,1450
97,Estonia,1444
98,Gabon,1442
99,Thailand,1430
100,Lithuania,1417
101,Bahrain,1414
101,Benin,1414
103,Northern Cyprus,1413
104,Zimbabwe,1408
104,El Salvador,1408
106,Macedonia,1407
106,Togo,1407
108,Kazakhstan,1395
109,Cyprus,1393
110,Kosovo,1391
111,Reunion,1388
112,Azerbaijan,1368
113,Lebanon,1365
114,New Caledonia,1359
115,Sierra Leone,1354
116,Mozambique,1351
117,Kenya,1346
118,Palestine,1339
119,Burundi,1337
120,Equatorial Guinea,1334
121,Liberia,1331
122,Namibia,1330
123,Swaziland,1327
124,Moldova,1326
124,Tanzania,1326
126,Central African Republic,1322
126,Malawi,1322
128,Mauritania,1306
129,Botswana,1303
130,Cuba,1300
130,Sudan,1300
130,Ethiopia,1300
133,Fiji,1291
134,Rwanda,1290
134,Saint Kitts and Nevis,1290
136,Zanzibar,1289
137,Turkmenistan,1287
138,Gambia,1285
138,Guinea-Bissau,1285
140,Guadeloupe,1275
141,Tahiti,1274
142,Chad,1268
143,Philippines,1267
143,French Guiana,1267
145,Niger,1266
146,Vietnam,1257
146,Nicaragua,1257
148,Madagascar,1241
149,Vanuatu,1237
150,Lesotho,1231
151,Mayotte,1226
152,Antigua and Barbuda,1223
153,Angola,1221
154,Guyana,1216
155,Dominican Republic,1215
156,Tajikistan,1214
157,Luxembourg,1213
158,Indonesia,1208
159,Malta,1205
159,Kyrgyzstan,1205
161,Faroe Islands,1203
162,Bermuda,1199
163,Yemen,1198
164,South Sudan,1197
165,Papua New Guinea,1196
166,Surinam,1192
167,Solomon Islands,1188
168,Hong Kong,1185
169,Belize,1168
170,Liechtenstein,1166
171,Afghanistan,1164
172,Singapore,1159
173,Curacao,1151
174,Barbados,1125
175,Grenada,1121
176,Mauritius,1108
177,Malaysia,1107
178,India,1103
179,Saint Vincent and the Grenadines,1101
180,Saint Lucia,1095
181,Puerto Rico,1087
182,Sao Tome e Principe,1084
183,Gibraltar,1079
184,Myanmar,1070
185,Eritrea,1067
186,Sint Maarten,1012
187,Comoros,975
188,Seychelles,968
189,Pakistan,963
190,Dominica,955
191,Cayman Islands,954
192,Andorra,939
192,Maldives,939
194,Nepal,915
195,Aruba,906
196,Bahamas,899
197,Bonaire,895
198,Guam,893
199,Bangladesh,891
200,Greenland,884
201,Saint Martin,875
202,Tuvalu,868
203,San Marino,861
204,Somalia,841
205,Cook Islands,831
206,Western Samoa,825
207,Wallis and Futuna,816
208,Laos,807
209,Saint Barthelemy,791
210,Cambodia,786
211,Taiwan,776
212,Sri Lanka,773
213,Saint Pierre and Miquelon,762
214,Djibouti,757
215,US Virgin Islands,754
216,East Timor,741
217,Monaco,733
218,Turks and Caicos,719
219,Tonga,714
219,Montserrat,714
221,Mongolia,689
222,Federated States of Micronesia,667
223,Macao,642
224,British Virgin Islands,630
225,Anguilla,628
226,Brunei,625
227,Eastern Samoa,616
228,Niue,595
229,Vatican,577
230,Bhutan,573
231,Kiribati,558
232,Tibet,553
233,Northern Mariana Islands,504
234,Palau,488
